material1,material2,relationship_type,confidence,page_reference
Copper,Molybdenum,alloy_components,high,76
Copper,Neodymium,alloy_components,high,29
Copper,Nickel,alloy_components,high,57
Copper,Niobium,alloy_components,high,139
Copper,Platinum,alloy_components,high,207
Copper,Rare Earths,alloy_components,high,160
Copper,Rhenium,alloy_components,high,160
Copper,Silicon,alloy_components,high,57
Copper,Silver,alloy_components,high,29
Copper,Steel,alloy_components,high,57
Copper,Tantalum,alloy_components,high,57
Copper,Tin,alloy_components,high,57
Copper,Titanium,alloy_components,high,29
Copper,Tungsten,alloy_components,high,29
Copper,Vanadium,alloy_components,high,207
Copper,Zinc,alloy_components,high,73
Dysprosium,Gold,alloy_components,high,29
Dysprosium,Iron,alloy_components,high,29
Dysprosium,Neodymium,alloy_components,high,27
Dysprosium,Nickel,alloy_components,high,27
Dysprosium,Praseodymium,alloy_components,high,29
Dysprosium,Rare Earths,alloy_components,high,29
Dysprosium,Silver,alloy_components,high,27
Dysprosium,Steel,alloy_components,high,27
Dysprosium,Tantalum,alloy_components,high,27
Dysprosium,Terbium,alloy_components,high,29
Dysprosium,Titanium,alloy_components,high,27
Dysprosium,Tungsten,alloy_components,high,29
Gold,Iron,alloy_components,high,29
Gold,Magnesium,alloy_components,high,126
Gold,Manganese,alloy_components,high,137
Gold,Molybdenum,alloy_components,high,126
Gold,Neodymium,alloy_components,high,29
Gold,Nickel,alloy_components,high,135
Gold,Niobium,alloy_components,high,135
Gold,Rare Earths,alloy_components,high,137
Gold,Rhenium,alloy_components,high,160
Gold,Silver,alloy_components,high,29
Gold,Steel,alloy_components,high,137
Gold,Tantalum,alloy_components,high,137
Gold,Titanium,alloy_components,high,29
Gold,Tungsten,alloy_components,high,126
Gold,Vanadium,alloy_components,high,135
Graphite,Hafnium,alloy_components,high,27
Graphite,Neodymium,alloy_components,high,27
Graphite,Nickel,alloy_components,high,27
Graphite,Silicon,alloy_components,high,57
Graphite,Steel,alloy_components,high,57
Graphite,Tantalum,alloy_components,high,57
Graphite,Tin,alloy_components,high,57
Graphite,Titanium,alloy_components,high,57
Graphite,Tungsten,alloy_components,high,135
Hafnium,Indium,alloy_components,high,103
Hafnium,Iridium,alloy_components,high,191
Hafnium,Molybdenum,alloy_components,high,103
Hafnium,Neodymium,alloy_components,high,27
Hafnium,Nickel,alloy_components,high,27
Hafnium,Niobium,alloy_components,high,191
Hafnium,Platinum,alloy_components,high,191
Hafnium,Rhenium,alloy_components,high,191
Hafnium,Silver,alloy_components,high,27
Hafnium,Steel,alloy_components,high,191
Hafnium,Tantalum,alloy_components,high,191
Hafnium,Titanium,alloy_components,high,103
Hafnium,Tungsten,alloy_components,high,103
Hafnium,Zinc,alloy_components,high,103
Hafnium,Zirconium,alloy_components,high,191
Indium,Molybdenum,alloy_components,high,103
Indium,Neodymium,alloy_components,high,103
Indium,Nickel,alloy_components,high,103
Indium,Niobium,alloy_components,high,219
Indium,Silver,alloy_components,high,219
Indium,Steel,alloy_components,high,219
Indium,Tantalum,alloy_components,high,219
Indium,Titanium,alloy_components,high,103
Indium,Tungsten,alloy_components,high,103
Indium,Zinc,alloy_components,high,103
Indium,Zirconium,alloy_components,high,219
Iridium,Molybdenum,alloy_components,high,191
Iridium,Neodymium,alloy_components,high,191
Iridium,Nickel,alloy_components,high,191
Iridium,Niobium,alloy_components,high,191
Iridium,Platinum,alloy_components,high,191
Iridium,Rhenium,alloy_components,high,191
Iridium,Steel,alloy_components,high,191
Iridium,Tantalum,alloy_components,high,191
Iridium,Titanium,alloy_components,high,191
Iridium,Tungsten,alloy_components,high,191
Iridium,Zirconium,alloy_components,high,191
Iron,Lead,alloy_components,high,58
Iron,Manganese,alloy_components,high,137
Iron,Molybdenum,alloy_components,high,58
Iron,Neodymium,alloy_components,high,27
Iron,Nickel,alloy_components,high,27
Iron,Praseodymium,alloy_components,high,29
Iron,Rare Earths,alloy_components,high,29
Iron,Silver,alloy_components,high,29
Iron,Steel,alloy_components,high,27
Iron,Tantalum,alloy_components,high,29
Iron,Terbium,alloy_components,high,29
Iron,Titanium,alloy_components,high,27
Iron,Tungsten,alloy_components,high,29
Iron,Zinc,alloy_components,high,27
Iron,Zirconium,alloy_components,high,27
Kaolin,Neodymium,alloy_components,high,201
Kaolin,Nickel,alloy_components,high,201
Kaolin,Tantalum,alloy_components,high,201
Kaolin,Titanium,alloy_components,high,201
Kaolin,Tungsten,alloy_components,high,201
Kaolin,Zirconium,alloy_components,high,201
Lanthanum,Magnesium,alloy_components,high,197
Lanthanum,Neodymium,alloy_components,high,197
Lanthanum,Nickel,alloy_components,high,197
Lanthanum,Silver,alloy_components,high,197
Lanthanum,Tantalum,alloy_components,high,197
Lanthanum,Thorium,alloy_components,high,197
Lanthanum,Titanium,alloy_components,high,197
Lanthanum,Tungsten,alloy_components,high,197
Lanthanum,Yttrium,alloy_components,high,197
Lanthanum,Zirconium,alloy_components,high,197
Lead,Molybdenum,alloy_components,high,58
Lead,Neodymium,alloy_components,high,58
Lead,Nickel,alloy_components,high,58
Lead,Platinum,alloy_components,high,160
Lead,Rare Earths,alloy_components,high,58
Lead,Rhenium,alloy_components,high,160
Lead,Tantalum,alloy_components,high,58
Lead,Tellurium,alloy_components,high,173
Lead,Tin,alloy_components,high,113
Lead,Titanium,alloy_components,high,58
Lead,Tungsten,alloy_components,high,58
Lead,Zinc,alloy_components,medium,197
Magnesium,Molybdenum,alloy_components,high,126
Magnesium,Neodymium,alloy_components,high,126
Magnesium,Nickel,alloy_components,high,126
Magnesium,Salt,alloy_components,high,126
Magnesium,Silver,alloy_components,high,126
Magnesium,Tantalum,alloy_components,high,126
Magnesium,Thorium,alloy_components,high,197
Magnesium,Titanium,alloy_components,high,126
Magnesium,Tungsten,alloy_components,high,126
Magnesium,Yttrium,alloy_components,high,197
Magnesium,Zinc,alloy_components,high,121
Magnesium,Zirconium,alloy_components,high,197
Manganese,Neodymium,alloy_components,high,137
Manganese,Nickel,alloy_components,high,137
Manganese,Tantalum,alloy_components,high,137
Manganese,Titanium,alloy_components,high,137
Manganese,Tungsten,alloy_components,high,137
Molybdenum,Neodymium,alloy_components,high,58
Molybdenum,Nickel,alloy_components,high,58
Molybdenum,Niobium,alloy_components,high,135
Molybdenum,Platinum,alloy_components,high,191
Molybdenum,Rare Earths,alloy_components,high,58
Molybdenum,Rhenium,alloy_components,high,160
Molybdenum,Silicon,alloy_components,high,174
Molybdenum,Silver,alloy_components,high,126
Molybdenum,Steel,alloy_components,high,71
Molybdenum,Tantalum,alloy_components,high,58
Molybdenum,Titanium,alloy_components,high,58
Molybdenum,Tungsten,alloy_components,high,58
Molybdenum,Vanadium,alloy_components,high,135
Molybdenum,Zinc,alloy_components,high,103
Molybdenum,Zirconium,alloy_components,high,191
Neodymium,Nickel,alloy_components,high,27
Neodymium,Niobium,alloy_components,high,27
Neodymium,Platinum,alloy_components,high,160
Neodymium,Praseodymium,alloy_components,high,29
Neodymium,Rare Earths,alloy_components,high,29
Neodymium,Rhenium,alloy_components,high,160
Neodymium,Salt,alloy_components,high,126
Neodymium,Silicon,alloy_components,high,57
Neodymium,Silver,alloy_components,high,27
Neodymium,Steel,alloy_components,high,27
Neodymium,Tantalum,alloy_components,high,27
Neodymium,Tellurium,alloy_components,high,173
Neodymium,Terbium,alloy_components,high,29
Neodymium,Thorium,alloy_components,high,197
Neodymium,Tin,alloy_components,high,57
Neodymium,Titanium,alloy_components,high,27
Neodymium,Tungsten,alloy_components,high,29
Neodymium,Vanadium,alloy_components,high,135
Neodymium,Yttrium,alloy_components,high,197
Neodymium,Zinc,alloy_components,high,27
Neodymium,Zirconium,alloy_components,high,27
Nickel,Niobium,alloy_components,high,27
Nickel,Platinum,alloy_components,high,160
Nickel,Rare Earths,alloy_components,high,58
Nickel,Rhenium,alloy_components,high,160
Nickel,Silicon,alloy_components,high,57
Nickel,Silver,alloy_components,high,27
Nickel,Steel,alloy_components,high,27
Nickel,Tantalum,alloy_components,high,27
Nickel,Tellurium,alloy_components,high,173
Nickel,Thorium,alloy_components,high,197
Nickel,Tin,alloy_components,high,57
Nickel,Titanium,alloy_components,high,27
Nickel,Tungsten,alloy_components,high,58
Nickel,Vanadium,alloy_components,high,135
Nickel,Yttrium,alloy_components,high,197
Nickel,Zinc,alloy_components,high,27
Nickel,Zirconium,alloy_components,high,27
Niobium,Platinum,alloy_components,high,191
Niobium,Rhenium,alloy_components,high,191
Niobium,Silver,alloy_components,high,138
Niobium,Steel,alloy_components,high,138
Niobium,Tantalum,alloy_components,high,27
Niobium,Titanium,alloy_components,high,27
Niobium,Tungsten,alloy_components,high,135
Niobium,Vanadium,alloy_components,high,135
Niobium,Zirconium,alloy_components,high,191
Platinum,Rare Earths,alloy_components,high,160
Platinum,Rhenium,alloy_components,high,160
Platinum,Steel,alloy_components,high,191
Platinum,Tantalum,alloy_components,high,160
Platinum,Titanium,alloy_components,high,160
Platinum,Tungsten,alloy_components,high,160
Platinum,Vanadium,alloy_components,high,207
Platinum,Zirconium,alloy_components,high,191
Praseodymium,Rare Earths,alloy_components,high,29
Praseodymium,Silver,alloy_components,high,29
Praseodymium,Tantalum,alloy_components,high,29
Praseodymium,Terbium,alloy_components,high,29
Praseodymium,Titanium,alloy_components,high,29
Praseodymium,Tungsten,alloy_components,high,29
Rare Earths,Rhenium,alloy_components,high,160
Rare Earths,Silver,alloy_components,high,29
Rare Earths,Steel,alloy_components,high,137
Rare Earths,Tantalum,alloy_components,high,29
Rare Earths,Tellurium,alloy_components,high,173
Rare Earths,Terbium,alloy_components,high,29
Rare Earths,Titanium,alloy_components,high,29
Rare Earths,Tungsten,alloy_components,high,29
Rhenium,Silver,alloy_components,high,160
Rhenium,Steel,alloy_components,high,191
Rhenium,Tantalum,alloy_components,high,160
Rhenium,Titanium,alloy_components,high,160
Rhenium,Tungsten,alloy_components,high,160
Rhenium,Zirconium,alloy_components,high,191
Salt,Silver,alloy_components,high,126
Salt,Tantalum,alloy_components,high,126
Salt,Titanium,alloy_components,high,126
Salt,Tungsten,alloy_components,high,126
Silicon,Steel,alloy_components,high,57
Silicon,Tantalum,alloy_components,high,57
Silicon,Tin,alloy_components,high,57
Silicon,Titanium,alloy_components,high,57
Silicon,Tungsten,alloy_components,high,174
Silver,Steel,alloy_components,high,27
Silver,Tantalum,alloy_components,high,27
Silver,Terbium,alloy_components,high,29
Silver,Thorium,alloy_components,high,197
Silver,Titanium,alloy_components,high,27
Silver,Tungsten,alloy_components,high,29
Silver,Yttrium,alloy_components,high,197
Silver,Zirconium,alloy_components,high,197
Steel,Tantalum,alloy_components,high,27
Steel,Tin,alloy_components,high,57
Steel,Titanium,alloy_components,high,27
Steel,Tungsten,alloy_components,high,70
Steel,Zinc,alloy_components,high,27
Steel,Zirconium,alloy_components,high,27
Tantalum,Terbium,alloy_components,high,29
Tantalum,Thorium,alloy_components,high,197
Tantalum,Tin,alloy_components,high,57
Tantalum,Titanium,alloy_components,high,27
Tantalum,Tungsten,alloy_components,high,29
Tantalum,Vanadium,alloy_components,high,139
Tantalum,Yttrium,alloy_components,high,197
Tantalum,Zirconium,alloy_components,high,191
Tellurium,Titanium,alloy_components,high,173
Terbium,Titanium,alloy_components,high,29
Terbium,Tungsten,alloy_components,high,29
Thorium,Titanium,alloy_components,high,197
Thorium,Tungsten,alloy_components,high,197
Thorium,Yttrium,alloy_components,high,197
Thorium,Zirconium,alloy_components,high,197
Tin,Titanium,alloy_components,high,57
Titanium,Tungsten,alloy_components,high,29
Titanium,Vanadium,alloy_components,high,135
Titanium,Yttrium,alloy_components,high,197
Titanium,Zinc,alloy_components,high,27
Titanium,Zirconium,alloy_components,high,27
Tungsten,Vanadium,alloy_components,high,135
Tungsten,Yttrium,alloy_components,high,197
Tungsten,Zinc,alloy_components,high,103
Tungsten,Zirconium,alloy_components,high,191
Yttrium,Zirconium,alloy_components,high,197
Zinc,Zirconium,alloy_components,high,27
Antimony,Lead,battery_coproduction,high,113
Cadmium,Cobalt,battery_coproduction,high,131
Cadmium,Copper,battery_coproduction,high,131
Cadmium,Indium,battery_coproduction,high,131
Cadmium,Lithium,battery_coproduction,high,131
Cadmium,Mercury,battery_coproduction,high,131
Cadmium,Neodymium,battery_coproduction,high,131
Cadmium,Nickel,battery_coproduction,high,131
Cadmium,Tantalum,battery_coproduction,high,131
Cadmium,Titanium,battery_coproduction,high,131
Cadmium,Zinc,battery_coproduction,high,131
Calcium,Lead,battery_coproduction,medium,113
Chromium,Cobalt,battery_coproduction,high,11
Chromium,Copper,battery_coproduction,medium,21
Chromium,Graphite,battery_coproduction,medium,21
Chromium,Iron,battery_coproduction,high,75
Chromium,Lithium,battery_coproduction,high,11
Chromium,Manganese,battery_coproduction,medium,21
Chromium,Molybdenum,battery_coproduction,medium,21
Chromium,Neodymium,battery_coproduction,high,11
Chromium,Nickel,battery_coproduction,high,11
Chromium,Rare Earths,battery_coproduction,high,75
Chromium,Silver,battery_coproduction,medium,21
Chromium,Steel,battery_coproduction,high,11
Chromium,Tantalum,battery_coproduction,high,11
Chromium,Titanium,battery_coproduction,high,11
Chromium,Tungsten,battery_coproduction,high,11
Cobalt,Copper,battery_coproduction,high,75
Cobalt,Graphite,battery_coproduction,medium,21
Cobalt,Indium,battery_coproduction,high,131
Cobalt,Iron,battery_coproduction,high,75
Cobalt,Lithium,battery_coproduction,high,11
Cobalt,Manganese,battery_coproduction,high,71
Cobalt,Mercury,battery_coproduction,high,131
Cobalt,Molybdenum,battery_coproduction,medium,21
Cobalt,Neodymium,battery_coproduction,high,11
Cobalt,Nickel,battery_coproduction,high,11
Cobalt,Rare Earths,battery_coproduction,high,75
Cobalt,Silver,battery_coproduction,medium,21
Cobalt,Steel,battery_coproduction,high,11
Cobalt,Tantalum,battery_coproduction,high,11
Cobalt,Titanium,battery_coproduction,high,11
Cobalt,Tungsten,battery_coproduction,high,11
Cobalt,Zinc,battery_coproduction,high,131
Copper,Graphite,battery_coproduction,medium,21
Copper,Indium,battery_coproduction,high,131
Copper,Lithium,battery_coproduction,high,75
Copper,Manganese,battery_coproduction,medium,21
Copper,Mercury,battery_coproduction,high,131
Copper,Neodymium,battery_coproduction,high,75
Copper,Nickel,battery_coproduction,high,75
Copper,Rare Earths,battery_coproduction,medium,21
Copper,Silver,battery_coproduction,medium,21
Copper,Tantalum,battery_coproduction,high,75
Copper,Titanium,battery_coproduction,high,75
Copper,Tungsten,battery_coproduction,high,75
Copper,Zinc,battery_coproduction,high,131
Graphite,Lithium,battery_coproduction,high,119
Graphite,Manganese,battery_coproduction,medium,21
Graphite,Molybdenum,battery_coproduction,medium,21
Graphite,Neodymium,battery_coproduction,medium,21
Graphite,Nickel,battery_coproduction,medium,21
Graphite,Rare Earths,battery_coproduction,medium,21
Graphite,Silicon,battery_coproduction,high,101
Graphite,Silver,battery_coproduction,medium,21
Graphite,Tantalum,battery_coproduction,medium,21
Graphite,Titanium,battery_coproduction,medium,21
Graphite,Tungsten,battery_coproduction,medium,21
Indium,Lithium,battery_coproduction,high,131
Indium,Mercury,battery_coproduction,high,131
Indium,Neodymium,battery_coproduction,high,131
Indium,Nickel,battery_coproduction,high,131
Indium,Tantalum,battery_coproduction,high,131
Indium,Titanium,battery_coproduction,high,131
Indium,Zinc,battery_coproduction,high,131
Iron,Lithium,battery_coproduction,high,75
Iron,Neodymium,battery_coproduction,high,75
Iron,Nickel,battery_coproduction,high,75
Iron,Rare Earths,battery_coproduction,high,75
Iron,Titanium,battery_coproduction,high,75
Iron,Tungsten,battery_coproduction,high,75
Lithium,Manganese,battery_coproduction,high,71
Lithium,Mercury,battery_coproduction,high,131
Lithium,Molybdenum,battery_coproduction,medium,21
Lithium,Neodymium,battery_coproduction,high,11
Lithium,Nickel,battery_coproduction,high,11
Lithium,Phosphate,battery_coproduction,high,119
Lithium,Rare Earths,battery_coproduction,high,75
Lithium,Selenium,battery_coproduction,low,163
Lithium,Silicon,battery_coproduction,high,101
Lithium,Silver,battery_coproduction,medium,21
Lithium,Steel,battery_coproduction,high,11
Lithium,Sulfur,battery_coproduction,medium,177
Lithium,Tantalum,battery_coproduction,high,11
Lithium,Titanium,battery_coproduction,high,11
Lithium,Tungsten,battery_coproduction,high,11
Lithium,Vanadium,battery_coproduction,medium,191
Lithium,Zinc,battery_coproduction,high,131
Manganese,Molybdenum,battery_coproduction,medium,21
Manganese,Neodymium,battery_coproduction,medium,21
Manganese,Nickel,battery_coproduction,high,71
Manganese,Rare Earths,battery_coproduction,medium,21
Manganese,Silver,battery_coproduction,medium,21
Manganese,Tantalum,battery_coproduction,medium,21
Manganese,Titanium,battery_coproduction,medium,21
Manganese,Tungsten,battery_coproduction,medium,21
Manganese,Zinc,battery_coproduction,medium,197
Mercury,Neodymium,battery_coproduction,high,131
Mercury,Nickel,battery_coproduction,high,131
Mercury,Tantalum,battery_coproduction,high,131
Mercury,Titanium,battery_coproduction,high,131
Mercury,Zinc,battery_coproduction,high,131
Molybdenum,Neodymium,battery_coproduction,medium,21
Molybdenum,Nickel,battery_coproduction,medium,21
Molybdenum,Rare Earths,battery_coproduction,medium,21
Molybdenum,Silver,battery_coproduction,medium,21
Molybdenum,Tantalum,battery_coproduction,medium,21
Molybdenum,Titanium,battery_coproduction,medium,21
Molybdenum,Tungsten,battery_coproduction,medium,21
Neodymium,Nickel,battery_coproduction,high,11
Neodymium,Rare Earths,battery_coproduction,high,75
Neodymium,Silver,battery_coproduction,medium,21
Neodymium,Steel,battery_coproduction,high,11
Neodymium,Tantalum,battery_coproduction,high,11
Neodymium,Titanium,battery_coproduction,high,11
Neodymium,Tungsten,battery_coproduction,high,11
Neodymium,Zinc,battery_coproduction,high,131
Nickel,Rare Earths,battery_coproduction,high,75
Nickel,Silver,battery_coproduction,medium,21
Nickel,Steel,battery_coproduction,high,11
Nickel,Tantalum,battery_coproduction,high,11
Nickel,Titanium,battery_coproduction,high,11
Nickel,Tungsten,battery_coproduction,high,11
Nickel,Zinc,battery_coproduction,high,131
Rare Earths,Silver,battery_coproduction,medium,21
Rare Earths,Tantalum,battery_coproduction,medium,21
Rare Earths,Titanium,battery_coproduction,high,75
Rare Earths,Tungsten,battery_coproduction,high,75
Silver,Tantalum,battery_coproduction,medium,21
Silver,Titanium,battery_coproduction,medium,21
Silver,Tungsten,battery_coproduction,medium,21
Steel,Tantalum,battery_coproduction,high,11
Steel,Titanium,battery_coproduction,high,11
Steel,Tungsten,battery_coproduction,high,11
Tantalum,Titanium,battery_coproduction,high,11
Tantalum,Tungsten,battery_coproduction,high,11
Tantalum,Zinc,battery_coproduction,high,131
Titanium,Tungsten,battery_coproduction,high,11
Titanium,Zinc,battery_coproduction,high,131
Aluminum,Gallium,byproduct_coproduction,high,83
Aluminum,Scandium,byproduct_coproduction,high,161
Antimony,Bismuth,byproduct_coproduction,high,29
Antimony,Cadmium,byproduct_coproduction,high,29
Antimony,Copper,byproduct_coproduction,high,29
Antimony,Gallium,byproduct_coproduction,high,29
Antimony,Germanium,byproduct_coproduction,high,29
Antimony,Gold,byproduct_coproduction,high,29
Antimony,Indium,byproduct_coproduction,high,29
Antimony,Lead,byproduct_coproduction,high,47
Antimony,Palladium,byproduct_coproduction,high,29
Antimony,Silver,byproduct_coproduction,high,29
Antimony,Tellurium,byproduct_coproduction,high,29
Antimony,Zinc,byproduct_coproduction,high,29
Arsenic,Copper,byproduct_coproduction,high,45
Arsenic,Lead,byproduct_coproduction,medium,45
Arsenic,Zinc,byproduct_coproduction,medium,45
Bismuth,Cadmium,byproduct_coproduction,high,29
Bismuth,Copper,byproduct_coproduction,high,29
Bismuth,Gallium,byproduct_coproduction,high,29
Bismuth,Germanium,byproduct_coproduction,high,29
Bismuth,Gold,byproduct_coproduction,high,29
Bismuth,Indium,byproduct_coproduction,high,29
Bismuth,Lead,byproduct_coproduction,high,51
Bismuth,Palladium,byproduct_coproduction,high,29
Bismuth,Silver,byproduct_coproduction,high,29
Bismuth,Tellurium,byproduct_coproduction,high,29
Bismuth,Tungsten,byproduct_coproduction,high,51
Bismuth,Zinc,byproduct_coproduction,high,51
